Store Code,Store Name,Region,Date,Hour,Total IN,Adult IN,Child IN,Group IN,Staff IN
JP002,Mall Of Asia,South,29/01/2026,19,18,14,3,3,1
JP001,Palladium Mall,West,29/01/2026,19,16,15,0,4,1
JP002,Mall Of Asia,South,29/01/2026,20,3,2,0,0,1
JP001,Palladium Mall,West,29/01/2026,20,5,5,0,0,0
JP002,Mall Of Asia,South,29/01/2026,21,4,3,1,0,0
JP001,Palladium Mall,West,29/01/2026,21,4,2,0,0,2
JP002,Mall Of Asia,South,30/01/2026,11,9,6,1,0,2
JP001,Palladium Mall,West,30/01/2026,11,4,4,0,0,0
JP002,Mall Of Asia,South,30/01/2026,12,8,5,1,1,2
JP001,Palladium Mall,West,30/01/2026,12,12,11,0,2,1
JP002,Mall Of Asia,South,30/01/2026,13,10,7,1,1,2
JP001,Palladium Mall,West,30/01/2026,13,17,10,0,1,7
JP002,Mall Of Asia,South,30/01/2026,14,6,4,0,0,2
JP001,Palladium Mall,West,30/01/2026,14,15,12,0,0,3
JP002,Mall Of Asia,South,30/01/2026,15,7,5,0,1,2
JP001,Palladium Mall,West,30/01/2026,15,30,27,2,1,1
JP002,Mall Of Asia,South,30/01/2026,16,10,7,1,2,2
JP001,Palladium Mall,West,30/01/2026,16,17,14,0,1,3
JP002,Mall Of Asia,South,30/01/2026,17,11,8,3,0,0
JP001,Palladium Mall,West,30/01/2026,17,12,10,0,1,2
JP002,Mall Of Asia,South,30/01/2026,18,9,6,0,0,3
JP001,Palladium Mall,West,30/01/2026,18,19,18,0,2,1
JP002,Mall Of Asia,South,30/01/2026,19,4,2,0,0,2
JP001,Palladium Mall,West,30/01/2026,19,21,18,2,4,1
JP002,Mall Of Asia,South,30/01/2026,20,2,2,0,1,0
JP001,Palladium Mall,West,30/01/2026,20,14,11,0,1,3
JP002,Mall Of Asia,South,30/01/2026,21,2,2,0,0,0
JP001,Palladium Mall,West,30/01/2026,21,12,9,0,2,3
